Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61987226,0.3,l,1709553748.18,2024/03/04 12:02:28,2024/03/04 04:02:28 PST,"3.0 km from Mt Rainier, WA",46.8698,-121.7292,1.0,0.6
61987221,0.2,l,1709549954.78,2024/03/04 10:59:14,2024/03/04 02:59:14 PST,"2.3 km from Mt Rainier, WA",46.8697,-121.7420,-1.6,-1.0
61987126,0.3,l,1709486876,2024/03/03 17:27:56,2024/03/03 09:27:56 PST,"3.0 km from Mt Rainier, WA",46.8803,-121.7572,1.5,0.9
61986676,0.7,l,1709258244.79,2024/03/01 01:57:24,2024/02/29 17:57:24 PST,"17.2 km from Mt Rainier, WA",46.9413,-121.9452,8.8,5.5
61986666,0.6,l,1709255197.38,2024/03/01 01:06:37,2024/02/29 17:06:37 PST,"1.3 km from Mt Rainier, WA",46.8635,-121.7528,2.6,1.6
61985636,0.5,l,1709091200.3,2024/02/28 03:33:20,2024/02/27 19:33:20 PST,"19.5 km from Eatonville, WA",46.8995,-122.0135,11.2,6.9
61985526,0.4,l,1709064588.56,2024/02/27 20:09:48,2024/02/27 12:09:48 PST,"19.7 km from Mt Rainier, WA",46.9,-122.0087,10.8,6.7
61985481,0.9,l,1709058558.34,2024/02/27 18:29:18,2024/02/27 10:29:18 PST,"25.9 km from Goat Rocks, WA",46.7445,-121.5180,5.0,3.1
61984716,1.0,l,1708919096.73,2024/02/26 03:44:56,2024/02/25 19:44:56 PST,"25.8 km from Goat Rocks, WA",46.744,-121.5188,5.0,3.1
61984561,0.6,l,1708897414.43,2024/02/25 21:43:34,2024/02/25 13:43:34 PST,"22.7 km from Mt Rainier, WA",46.9925,-121.9788,14.7,9.1
61984446,0.2,l,1708847445.24,2024/02/25 07:50:45,2024/02/24 23:50:45 PST,"0.4 km from Mt Rainier, WA",46.8523,-121.7655,1.0,0.6
61984421,0.1,l,1708827433.64,2024/02/25 02:17:13,2024/02/24 18:17:13 PST,"15.3 km from Mt Rainier, WA",46.8882,-121.9540,10.0,6.2
61984416,0.1,l,1708824963.12,2024/02/25 01:36:03,2024/02/24 17:36:03 PST,"0.9 km from Mt Rainier, WA",46.8473,-121.7677,-0.1,0.0
61984386,0.5,l,1708804054.54,2024/02/24 19:47:34,2024/02/24 11:47:34 PST,"21.0 km from Mt Rainier, WA",46.9643,-121.9833,8.1,5.0
61984326,0.5,l,1708770243.28,2024/02/24 10:24:03,2024/02/24 02:24:03 PST,"20.3 km from Mt Rainier, WA",46.9517,-121.9847,14.0,8.7
61984321,0.3,l,1708769285.49,2024/02/24 10:08:05,2024/02/24 02:08:05 PST,"0.4 km from Mt Rainier, WA",46.8565,-121.7568,1.8,1.1
61984271,0.1,l,1708740346.66,2024/02/24 02:05:46,2024/02/23 18:05:46 PST,"15.7 km from Mt Rainier, WA",46.8008,-121.9515,4.0,2.5
61983996,0.2,l,1708594917.89,2024/02/22 09:41:57,2024/02/22 01:41:57 PST,"18.2 km from Mt Rainier, WA",46.9397,-121.9637,16.7,10.3
61983971,0.5,l,1708571781.41,2024/02/22 03:16:21,2024/02/21 19:16:21 PST,"22.7 km from Mt Rainier, WA",46.676,-121.9063,3.6,2.3
61983806,0.9,l,1708475913.77,2024/02/21 00:38:33,2024/02/20 16:38:33 PST,"20.6 km from Mt Rainier, WA",47.0383,-121.7800,17.2,10.7
