matched_file,longitude,latitude,distance_km,magnitude,depth,original_date,DAS_visibility
decimator_2023-09-03_14.28.00_UTC.h5,-122.1836667,46.19683333,63.75389551,0.69,2.99,2023-09-03 14:28:59,n
decimator_2023-09-03_15.49.00_UTC.h5,-122.1926667,46.19666667,64.00011802,0.12,3.84,2023-09-03 15:49:23,n
decimator_2023-09-03_16.25.00_UTC.h5,-122.1836667,46.19716667,63.7188496,0.21,3.1,2023-09-03 16:25:44,n
decimator_2023-09-03_20.49.00_UTC.h5,-122.1938333,46.19316667,64.39691544,0.13,4.55,2023-09-03 20:49:50,n
decimator_2023-09-03_23.11.00_UTC.h5,-122.2011667,46.1955,64.34398909,0,2.32,2023-09-03 23:11:23,n
decimator_2023-09-04_02.23.00_UTC.h5,-121.9146667,46.807,7.277567173,0.35,9.79,2023-09-04 2:23:56,n
decimator_2023-09-04_08.53.00_UTC.h5,-121.7386667,46.85183333,7.337076403,0.31,-2.76,2023-09-04 8:53:17,m
decimator_2023-09-04_09.30.00_UTC.h5,-121.959,46.77383333,4.943326011,0.58,9.6,2023-09-04 9:30:54,y
decimator_2023-09-04_09.34.00_UTC.h5,-121.9636667,46.77483333,5.267376925,0.43,9.78,2023-09-04 9:34:21,y
decimator_2023-09-04_11.10.00_UTC.h5,-121.9475,47.61816667,93.88873656,1.6,12.9,2023-09-04 11:10:22,n
decimator_2023-09-04_14.55.00_UTC.h5,-122.2215,46.31516667,52.72793229,0.6,4.42,2023-09-04 14:55:28,n
decimator_2023-09-04_15.54.00_UTC.h5,-122.1975,46.19433333,64.36971647,-0.05,0.72,2023-09-04 15:54:08,n
decimator_2023-09-04_19.45.00_UTC.h5,-122.1933333,46.19366667,64.33165436,-0.17,3.14,2023-09-04 19:45:08,n
decimator_2023-09-04_20.41.00_UTC.h5,-122.1853333,46.19983333,63.48063369,0.13,2.21,2023-09-04 20:41:20,n
decimator_2023-09-04_21.44.00_UTC.h5,-122.1975,46.18666667,65.17245746,-0.18,3.3,2023-09-04 21:44:49,n
decimator_2023-09-04_22.04.00_UTC.h5,-122.1986667,46.1955,64.27820133,0.29,2.27,2023-09-04 22:04:29,n
decimator_2023-09-04_23.12.00_UTC.h5,-122.1983333,46.20116667,63.67731587,0.52,5.6,2023-09-04 23:12:12,n
decimator_2023-09-04_23.21.00_UTC.h5,-122.196,46.19816667,63.92957029,0.26,3.16,2023-09-04 23:21:04,n
decimator_2023-09-05_01.25.00_UTC.h5,-122.2105,46.19316667,64.83684768,0.16,4.18,2023-09-05 1:25:08,n
decimator_2023-09-05_01.32.00_UTC.h5,-122.1911667,46.195,64.13629814,-0.03,4,2023-09-05 1:32:13,n
decimator_2023-09-05_02.41.00_UTC.h5,-122.1836667,46.19883333,63.54365441,0.81,2.77,2023-09-05 2:41:11,n
decimator_2023-09-05_03.20.00_UTC.h5,-122.1956667,46.194,64.35695498,0.21,4.4,2023-09-05 3:20:44,n
decimator_2023-09-05_04.58.00_UTC.h5,-122.1986667,46.19566667,64.26077714,0.1,2.35,2023-09-05 4:58:14,n
decimator_2023-09-05_05.14.00_UTC.h5,-122.193,46.19516667,64.16587822,-0.01,3.64,2023-09-05 5:14:36,n
decimator_2023-09-05_06.01.00_UTC.h5,-122.1803333,46.19366667,64.00433117,0.65,4,2023-09-05 6:01:02,n
decimator_2023-09-05_06.53.00_UTC.h5,-122.2071667,46.19766667,64.27824512,-0.19,3.36,2023-09-05 6:53:30,n
decimator_2023-09-05_07.06.00_UTC.h5,-122.1835,46.19583333,63.85487996,0.33,3.31,2023-09-05 7:06:12,n
decimator_2023-09-05_07.10.00_UTC.h5,-121.7765,46.85,7.546080783,0.21,-0.1,2023-09-05 7:10:02,y
decimator_2023-09-05_07.18.00_UTC.h5,-121.9885,46.75183333,5.692408255,0.54,10.26,2023-09-05 7:18:36,y
decimator_2023-09-05_08.02.00_UTC.h5,-122.188,46.19616667,63.93319333,0.19,4.07,2023-09-05 8:02:14,n
decimator_2023-09-05_10.34.00_UTC.h5,-121.7575,46.85333333,7.645122249,0.45,1.18,2023-09-05 10:34:11,y
decimator_2023-09-05_11.10.00_UTC.h5,-122.1925,46.20683333,62.93169744,0.06,6.15,2023-09-05 11:10:04,n
decimator_2023-09-05_11.43.00_UTC.h5,-122.1865,46.19533333,63.98275932,0.02,3.65,2023-09-05 11:43:50,n
decimator_2023-09-05_13.22.00_UTC.h5,-122.1973333,46.19516667,64.27818925,0.41,2.56,2023-09-05 13:22:13,n
decimator_2023-09-05_16.25.00_UTC.h5,-122.1968333,46.19516667,64.26515284,-0.76,2.43,2023-09-05 16:25:04,n
decimator_2023-09-05_16.27.00_UTC.h5,-122.1896667,46.203,63.25922907,-0.07,3.16,2023-09-05 16:27:00,n
decimator_2023-09-05_23.14.00_UTC.h5,-122.19,46.19483333,64.123989,0.63,3.96,2023-09-05 23:14:49,n
decimator_2023-09-06_06.56.00_UTC.h5,-122.187,46.19433333,64.10042582,0.14,4.49,2023-09-06 6:56:09,n
decimator_2023-09-06_10.13.00_UTC.h5,-121.8596667,46.7295,0.6943795553,0.58,8.73,2023-09-06 10:13:08,y
decimator_2023-09-06_18.29.00_UTC.h5,-122.4453333,46.16616667,75.66574789,0.41,17.31,2023-09-06 18:29:43,n
decimator_2023-09-06_19.39.00_UTC.h5,-122.1835,46.198,63.62706311,0.54,3.21,2023-09-06 19:39:02,n
decimator_2023-09-07_02.06.00_UTC.h5,-122.2113333,46.18016667,66.21417906,-0.09,6.49,2023-09-07 2:06:12,n
decimator_2023-09-07_05.16.00_UTC.h5,-121.7605,46.84816667,7.11324268,0.08,-2.28,2023-09-07 5:16:49,y
decimator_2023-09-07_07.08.00_UTC.h5,-121.8991667,46.81966667,8.595034657,0.19,6.2,2023-09-07 7:08:36,y
