Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology,slope_deg
2981,28531.2,46.74098,-121.89269,667.0,10.0,26066.2,262.0,True,-11868.76898,-4989.983018,W,WSW,True,,W,Qs,9.226408958435059
2982,28540.7,46.74098,-121.89276,667.0,12.8,26071.8,262.0,True,-11874.10307,-4989.983018,W,WSW,True,,W,Qs,7.844484806060791
2983,28550.3,46.74097,-121.89283,667.0,15.5,26077.4,262.0,True,-11879.43937,-4991.094967,W,WSW,True,,W,Qs,8.21927547454834
2984,28559.9,46.74096,-121.89291,666.0,15.5,26082.9,262.0,False,-11885.53768,-4992.206916,W,WSW,True,,W,Qs,5.11962890625
2985,28569.4,46.74095,-121.89298,666.0,15.5,26088.5,262.0,True,-11890.87398,-4993.318865,W,WSW,True,,W,Qs,12.17782211303711
2986,28579.0,46.74095,-121.89305,666.0,15.5,26094.1,262.0,False,-11896.20808,-4993.318865,W,WSW,True,,W,Qs,3.5611226558685303
2987,28588.6,46.74094,-121.89312,666.0,15.5,26099.7,262.0,False,-11901.54438,-4994.430814,W,WSW,True,,W,Qs,2.2952194213867188
2988,28598.1,46.74093,-121.8932,666.0,15.5,26105.3,262.0,True,-11907.6427,-4995.542763,W,WSW,True,,W,Qs,2.3664908409118652
2989,28607.7,46.7409,-121.89348,665.0,11.6,26126.8,262.0,False,-11928.98573,-4998.878609,W,WSW,True,,W,Qs,7.959400177001953
2990,28617.3,46.74088,-121.89376,665.0,19.6,26148.4,262.0,True,-11950.32657,-5001.102507,W,WSW,True,,W,Qs,6.242377281188965
2991,28626.9,46.74085,-121.89404,664.0,27.6,26170.0,267.0,True,-11971.66965,-5004.438354,W,WSW,True,,W,Qs,6.809027194976807
2992,28636.4,46.74087,-121.89424,664.0,24.5,26185.4,272.0,True,-11986.9055,-5002.214456,W,WSW,True,,W,Qs,6.765513896942139
2993,28646.0,46.74089,-121.89444,664.0,21.5,26200.9,277.0,False,-12002.14135,-4999.990558,W,WSW,True,,W,Qs,2.498992919921875
2994,28655.6,46.7409,-121.89464,663.0,18.4,26216.4,277.0,False,-12017.37941,-4998.878609,W,WSW,True,,W,Qs,1.2404396533966064
2995,28665.1,46.74092,-121.89484,663.0,18.4,26231.9,282.0,True,-12032.61524,-4996.654711,WNW,WNW,True,,W,Qs,4.617525577545166
2996,28674.7,46.74095,-121.89495,663.0,15.2,26240.9,287.0,False,-12040.99069,-4993.318865,WNW,WNW,True,,W,Qs,4.602938175201416
2997,28684.3,46.74098,-121.89506,663.0,12.0,26249.9,292.0,False,-12049.36614,-4989.983018,WNW,WNW,True,,W,Qs,2.809532403945923
2998,28693.9,46.74101,-121.89517,663.0,10.4,26258.9,292.0,False,-12057.74158,-4986.647171,WNW,WNW,True,,W,Qs,1.4131032228469849
2999,28703.4,46.74104,-121.89528,662.0,10.4,26267.9,292.0,False,-12066.11701,-4983.311324,WNW,WNW,True,,W,Qs,9.755410194396973
3000,28713.0,46.74108,-121.89539,662.0,10.4,26276.9,292.0,True,-12074.49019,-4978.863529,WNW,WNW,True,,W,Qs,7.586367607116699
3001,28722.6,46.74111,-121.8955,662.0,10.4,26285.9,292.0,True,-12082.86559,-4975.527682,WNW,WNW,True,,W,Qs,0.9738753437995911
3002,28732.1,46.74114,-121.89561,662.0,10.4,26294.9,293.0,True,-12091.24099,-4972.191835,WNW,WNW,True,,W,Qs,1.1105334758758545
3003,28741.7,46.74117,-121.89573,662.0,9.9,26305.0,293.0,True,-12100.37839,-4968.855988,WNW,WNW,True,,W,Qs,1.9948091506958008
3004,28751.3,46.74121,-121.89585,662.0,9.8,26315.1,294.0,True,-12109.51353,-4964.408193,WNW,WNW,True,,W,Qs,2.235358476638794
3005,28760.9,46.74125,-121.89597,662.0,10.4,26325.2,294.0,True,-12118.64866,-4959.960397,WNW,WNW,True,,W,Qs,2.0384936332702637
3006,28770.4,46.74128,-121.89609,662.0,10.4,26335.3,294.0,True,-12127.78603,-4956.62455,WNW,WNW,True,,W,Qs,0.20821021497249603
3007,28780.0,46.74131,-121.89619,662.0,9.9,26343.2,295.0,True,-12135.39937,-4953.288703,WNW,WNW,True,,W,Qs,2.404351234436035
