Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],x [m],y [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,Direction []
269,2574.6,46.78121,-121.74777,1556,-825.18058,-516.72282,10.2,2142.3,147,True,SSE
270,2584.2,46.78114,-121.74771,1556,-820.15610,-524.39527,10.2,2151.4,151,True,SSE
271,2593.7,46.78107,-121.74767,1555,-817.36519,-532.29011,10.6,2159.8,156,True,SSE
272,2603.3,46.78100,-121.74763,1555,-814.57428,-540.18495,11.0,2168.2,161,True,SSE
273,2612.9,46.78093,-121.74760,1554,-811.78338,-548.07979,11.4,2176.5,165,True,SSE
274,2622.5,46.78086,-121.74758,1554,-810.90107,-555.35194,11.9,2183.9,169,True,S
275,2632.0,46.78080,-121.74757,1553,-810.01877,-562.62409,12.4,2191.2,173,True,S
276,2641.6,46.78073,-121.74756,1553,-809.13647,-569.89624,12.9,2198.5,173,False,S
277,2651.2,46.78067,-121.74755,1552,-808.25416,-577.16839,12.9,2205.9,173,True,S
278,2660.7,46.78060,-121.74754,1552,-807.37186,-584.44053,12.9,2213.2,177,True,S
279,2670.3,46.78053,-121.74755,1551,-808.18517,-592.48363,12.6,2221.3,182,False,S
